Timestamp,Title,Journal,Publication Year,Authors,Field,Link
,Water Governance Contribution to Water and Sanitation Access Equality in Developing Countries,Water Resources Research,2020,"Bayu, T., Kim, H., Oki, T.",6.159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083976406&doi=10.1029%2f2019WR025330&partnerID=40&md5=a6ecd22af55ebbd0b05dd46745348f8c
,Improvement of the Irrigation Scheme in the ORCHIDEE Land Surface Model and Impacts of Irrigation on Regional Water Budgets Over China,Journal of Advances in Modeling Earth Systems,2020,"Yin, Z., Wang, X.H., Ottlé, C., Zhou, F., Guimberteau, M., Polcher, J., Peng, S.S., Piao, S.L., Li, L., Bo, Y., Chen, X.L., Zhou, X.D., Kim, H., Ciais, P.",8.469,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083958020&doi=10.1029%2f2019MS001770&partnerID=40&md5=1cd989832d8da5973c5341ced858d0be
,Emergence of significant soil moisture depletion in the near future,Environmental Research Letters,2019,"Joo, J., Jeong, S., Zheng, C., Park, C.-E., Park, H., Kim, H.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098599467&doi=10.1088%2f1748-9326%2fabc6d2&partnerID=40&md5=fbe7d0f5a50fd77dbd5c44c9715317b6
,Event-to-event intensification of the hydrologic cycle from 1.5 °C to a 2 °C warmer world,Scientific Reports,2019,"Madakumbura, G.D., Kim, H., Utsumi, N., Shiogama, H., Fischer, E.M., Seland, Ø., Scinocca, J.F., Mitchell, D.M., Hirabayashi, Y., Oki, T.",4.997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062586291&doi=10.1038%2fs41598-019-39936-2&partnerID=40&md5=a984b991c36534d88651c201704b41ce
,State-of-the-art global models underestimate impacts from climate extremes,Nature Communications,2019,"Schewe, J., Gosling, S.N., Reyer, C., Zhao, F., Ciais, P., Elliott, J., Francois, L., Huber, V., Lotze, H.K., Seneviratne, S.I., van Vliet, M.T.H., Vautard, R., Wada, Y., Breuer, L., Büchner, M., Carozza, D.A., Chang, J., Coll, M., Deryng, D., de Wit, A., Eddy, T.D., Folberth, C., Frieler, K., Friend, A.D., Gerten, D., Gudmundsson, L., Hanasaki, N., Ito, A., Khabarov, N., Kim, H., Lawrence, P., Morfopoulos, C., Müller, C., Müller Schmied, H., Orth, R., Ostberg, S., Pokhrel, Y., Pugh, T.A.M., Sakurai, G., Satoh, Y., Schmid, E., Stacke, T., Steenbeek, J., Steinkamp, J., Tang, Q., Tian, H., Tittensor, D.P., Volkholz, J., Wang, X., Warszawski, L.",17.694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062292878&doi=10.1038%2fs41467-019-08745-6&partnerID=40&md5=9f0e231df2684a6d649d2f144c110d8d
,Consecutive extreme flooding and heat wave in Japan: Are they becoming a norm?,Atmospheric Science Letters,2019,"Wang, S.S.Y., Kim, H., Coumou, D., Yoon, J.-H., Zhao, L., Gillies, R.R.",2.992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070090794&doi=10.1002%2fasl.933&partnerID=40&md5=498ec3735894b80c2826cba3391a9fd0
,Observed controls on resilience of groundwater to climate variability in sub-Saharan Africa,Nature,2019,"Cuthbert, M.O., Taylor, R.G., Favreau, G., Todd, M.C., Shamsudduha, M., Villholth, K.G., MacDonald, A.M., Scanlon, B.R., Kotchoni, D.O.V., Vouillamoz, J.-M., Lawson, F.M.A., Adjomayi, P.A., Kashaigili, J., Seddon, D., Sorensen, J.P.R., Ebrahim, G.Y., Owor, M., Nyenje, P.M., Nazoumou, Y., Goni, I., Ousmane, B.I., Sibanda, T., Ascott, M.J., Macdonald, D.M.J., Agyekum, W., Koussoubé, Y., Wanke, H., Kim, H., Wada, Y., Lo, M.-H., Oki, T., Kukuric, N.",69.504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070382340&doi=10.1038%2fs41586-019-1441-7&partnerID=40&md5=f7db3691fa5c21796915a197aa7c9ca4
,Meteorological and evaluation datasets for snow modelling at 10 reference sites: Description of in situ and bias-corrected reanalysis data,Earth System Science Data,2019,"Ménard, C.B., Essery, R., Barr, A., Bartlett, P., Derry, J., Dumont, M., Fierz, C., Kim, H., Kontu, A., Lejeune, Y., Marks, D., Niwano, M., Raleigh, M., Wang, L., Wever, N.",11.815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067488547&doi=10.5194%2fessd-11-865-2019&partnerID=40&md5=bd9980baa8c2c313f8f59d285a5635d7
,Seasonal Flooding Causes Intensification of the River Breeze in the Central Amazon,Journal of Geophysical Research: Atmospheres,2019,"Santos, M.J., Medvigy, D., Silva Dias, M.A.F., Freitas, E.D., Kim, H.",5.217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066916416&doi=10.1029%2f2018JD029439&partnerID=40&md5=b167fed0f4187e18a84eed192296888b
,Improving satellite-based subhourly surface rain estimates using vertical rain profile information,Journal of Hydrometeorology,2019,"Utsumi, N., Kim, H., Turk, F.J., Haddad, Z.S.",4.871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066274762&doi=10.1175%2fJHM-D-18-0225.1&partnerID=40&md5=b9c2ac2791970a99ae8e5b2309766de3
